Trial,Time,PRed,PGreen
RTr_Bl4_13,5.2,0.775940359,0.224059686
RTr_Bl4_13,5.3,0.779429078,0.220570922
RTr_Bl4_13,5.4,0.784502804,0.215497151
RTr_Bl4_13,5.5,0.784136236,0.215863705
RTr_Bl4_13,5.6,0.785593212,0.214406803
RTr_Bl4_13,5.7,0.78483814,0.21516189
RTr_Bl4_13,5.8,0.796943784,0.203056157
RTr_Bl4_13,5.9,0.793209553,0.206790447
RTr_Bl4_13,6,0.784002423,0.215997547
RTr_Bl4_13,6.1,0.78144145,0.218558565
RTr_Bl4_13,6.2,0.767552435,0.232447594
RTr_Bl4_13,6.3,0.75188601,0.24811399
RTr_Bl4_13,6.4,0.723960698,0.276039302
RTr_Bl4_13,6.5,0.739279926,0.260720104
RTr_Bl4_13,6.6,0.742674112,0.257325858
RTr_Bl4_13,6.7,0.748462379,0.251537621
RTr_Bl4_13,6.8,0.747810245,0.252189726
RTr_Bl4_13,6.9,0.776746988,0.223252997
RTr_Bl4_13,7,0.782731831,0.217268184
RTr_Bl4_13,7.1,0.768486023,0.231514007
RTr_Bl4_13,7.2,0.774185359,0.225814596
RTr_Bl4_13,7.3,0.769895256,0.23010467
RTr_Bl4_13,7.4,0.698339403,0.301660597
RTr_Bl4_14,0.1,0.147573516,0.852426469
RTr_Bl4_14,0.2,0.154619217,0.845380783
RTr_Bl4_14,0.3,0.164041504,0.83595854
RTr_Bl4_14,0.4,0.162147209,0.837852776
RTr_Bl4_14,0.5,0.163578242,0.836421788
RTr_Bl4_14,0.6,0.173164964,0.826834977
RTr_Bl4_14,0.7,0.176575974,0.823423982
RTr_Bl4_14,0.8,0.181893468,0.818106592
RTr_Bl4_14,0.9,0.190005511,0.809994459
RTr_Bl4_14,1,0.180238575,0.819761395
RTr_Bl4_14,1.1,0.182690382,0.817309558
RTr_Bl4_14,1.2,0.195619076,0.804380953
RTr_Bl4_14,1.3,0.199966699,0.800033271
RTr_Bl4_14,1.4,0.241308153,0.758691907
RTr_Bl4_14,1.5,0.21893172,0.781068325
RTr_Bl4_14,1.6,0.247181267,0.752818763
RTr_Bl4_14,1.7,0.262121975,0.737878084
RTr_Bl4_14,1.8,0.302393168,0.697606862
RTr_Bl4_14,1.9,0.336222291,0.663777769
RTr_Bl4_14,2,0.333658546,0.666341484
RTr_Bl4_14,2.1,0.306407183,0.693592787
RTr_Bl4_14,2.2,0.33640787,0.66359216
RTr_Bl4_14,2.3,0.274939895,0.725060105
RTr_Bl4_14,2.4,0.264537871,0.735462189
RTr_Bl4_14,2.5,0.301463038,0.698536992
RTr_Bl4_14,2.6,0.299919665,0.700080395
RTr_Bl4_14,2.7,0.272169501,0.727830529
RTr_Bl4_14,2.8,0.278142005,0.721858025
RTr_Bl4_14,2.9,0.265661776,0.734338164
RTr_Bl4_14,3,0.243176118,0.756823897
RTr_Bl4_14,3.1,0.229778707,0.770221293
RTr_Bl4_14,3.2,0.211372942,0.788627088
RTr_Bl4_14,3.3,0.193412066,0.806587934
RTr_Bl4_14,3.4,0.170858145,0.829141855
RTr_Bl4_14,3.5,0.164230898,0.835769117
RTr_Bl4_14,3.6,0.151555136,0.848444819
RTr_Bl4_14,3.7,0.137444481,0.862555563
RTr_Bl4_15,0.1,0.775075853,0.224924117
RTr_Bl4_15,0.2,0.758429706,0.241570309
RTr_Bl4_15,0.3,0.756412745,0.243587315
RTr_Bl4_15,0.4,0.730118752,0.269881248
RTr_Bl4_15,0.5,0.699616492,0.300383508
RTr_Bl4_15,0.6,0.697848737,0.302151293
RTr_Bl4_15,0.7,0.676963389,0.323036671
RTr_Bl4_15,0.8,0.688911974,0.311088026
RTr_Bl4_15,0.9,0.659910977,0.340089053
RTr_Bl4_15,1,0.638187826,0.361812204
RTr_Bl4_15,1.1,0.612987995,0.387012005
RTr_Bl4_15,1.2,0.563760221,0.436239719
RTr_Bl4_15,1.3,0.500184953,0.499815077
RTr_Bl4_15,1.4,0.468593925,0.531406045
RTr_Bl4_15,1.5,0.448114514,0.551885486
RTr_Bl4_15,1.6,0.425367236,0.574632764
RTr_Bl4_15,1.7,0.387458175,0.612541795
RTr_Bl4_15,1.8,0.344907284,0.655092716
RTr_Bl4_15,1.9,0.320219576,0.679780424
RTr_Bl4_15,2,0.301558495,0.698441505
RTr_Bl4_15,2.1,0.284770072,0.715229928
RTr_Bl4_15,2.2,0.295691103,0.704308927
RTr_Bl4_15,2.3,0.26138863,0.738611341
RTr_Bl4_15,2.4,0.238938883,0.761061192
RTr_Bl4_15,2.5,0.234543219,0.765456796
RTr_Bl4_15,2.6,0.246246174,0.753753841
RTr_Bl4_15,2.7,0.252705127,0.747294903
RTr_Bl4_15,2.8,0.225119174,0.774880826
RTr_Bl4_15,2.9,0.199344501,0.800655425
RTr_Bl4_15,3,0.182415903,0.817584157
RTr_Bl4_15,3.1,0.176457345,0.823542655
RTr_Bl4_15,3.2,0.241122618,0.758877397
RTr_Bl4_16,0.1,0.199226454,0.800773621
RTr_Bl4_16,0.2,0.195801318,0.804198682
RTr_Bl4_16,0.3,0.208871216,0.791128814
RTr_Bl4_16,0.4,0.240265816,0.759734154
RTr_Bl4_16,0.5,0.275014579,0.724985421
RTr_Bl4_16,0.6,0.316142529,0.683857501
RTr_Bl4_16,0.7,0.336591572,0.663408399
RTr_Bl4_16,0.8,0.409300268,0.590699792
RTr_Bl4_16,0.9,0.453184605,0.546815336
RTr_Bl4_16,1,0.489893377,0.510106623
RTr_Bl4_16,1.1,0.499931157,0.500068784
RTr_Bl4_16,1.2,0.529868126,0.470131904
RTr_Bl4_16,1.3,0.552965105,0.447034836
RTr_Bl4_16,1.4,0.575159907,0.424840063
RTr_Bl4_16,1.5,0.553663075,0.446336955
RTr_Bl4_16,1.6,0.557635784,0.442364216
RTr_Bl4_16,1.7,0.58056581,0.41943422
RTr_Bl4_16,1.8,0.579160988,0.420839071
RTr_Bl4_16,1.9,0.583708882,0.416291028
RTr_Bl4_16,2,0.594637156,0.405362785
RTr_Bl4_16,2.1,0.587177575,0.412822455
RTr_Bl4_16,2.2,0.602918029,0.397081971
RTr_Bl4_16,2.3,0.558691025,0.441308975
RTr_Bl4_16,2.4,0.526161611,0.473838359
RTr_Bl4_16,2.5,0.483987063,0.516012967
RTr_Bl4_16,2.6,0.502233982,0.497766078
RTr_Bl4_16,2.7,0.56760329,0.43239671
RTr_Bl4_16,2.8,0.605765879,0.394234151
RTr_Bl4_16,2.9,0.613954902,0.386045128
RTr_Bl4_16,3,0.61314857,0.38685149
RTr_Bl4_16,3.1,0.618758738,0.381241262
RTr_Bl4_16,3.2,0.628477454,0.371522576
RTr_Bl4_16,3.3,0.647609532,0.352390438
RTr_Bl4_16,3.4,0.632764697,0.367235273
RTr_Bl4_16,3.5,0.649190485,0.350809515
